"African",18
"American",178
"British",1932
"Caribbean",86
"Chinese",163
"E. European",63
"French",528
"Greek",51
"Indian",380
"Irish",46
"Italian",641
"Japanese",65
"Mexican",66
"North African",72
"Portuguese",14
"S. American",27
"Spanish",146
"Thai/Asian",248
"Turk/Mid-East",41
